depth,strat,min,max,median,mean,Acer rubrum,Amaranthaceae,Ambrosia-type,Anacardiaceae,Asteroideae undiff.,Betula,Carya,Cyperaceae,Fagus,Fraxinus pennsylvanica-type,Ilex,Juglans cinerea,Lemnoideae,Liquidambar,Lycopodium-type,Nyssa,Osmunda,Pinus,Plantago,Platanus,Poaceae undiff.,Potentilla-type,Quercus,Rhamnaceae/Vitaceae undiff.,Rubiaceae,Rumex,Salix,Tsuga,Ulmus,Urtica-type,Alnus incana-type,Artemisia,Castanea,Dryopteris-type,Ericaceae,Ostrya/Carpinus,Poaceae (Cerealia),Sparganium-type,Abies,Juglans nigra,Picea,Pteridium-type,Sphagnum,Unknown,Acer saccharum-type,Fraxinus nigra-type,Populus,Corylus,Myrica,Thalictrum,Polygonum sensu lato,Typha latifolia,Caprifoliaceae sensu lato,Diospyros-type,Potamogetonaceae,Sagittaria,Rhamnaceae,Brasenia schreberi,Isoëtes,Sanguisorba,Alnus viridis-type,Caryophyllaceae,Nuphar,Onagraceae,Spermatophyta undiff. (aquatics),Cichorioideae,Cupressaceae,Menyanthes trifoliata,Myriophyllum,Lamiaceae,Polypodiophyta undiff.,Athyrium,Polemoniaceae,Brassicaceae,Equisetum,Campanulaceae
120,organic silt with plant fragments,13259,13821,13571,13562,0,0,0.485436893,0,1.699029126,4.611650485,0,3.155339806,0,0,0,0,0,0,0.72815534,0,0,30.82524272,0,0,1.699029126,0.242718447,5.582524272,0,0,0,0.485436893,0,0.72815534,0,1.213592233,0,0,0.485436893,0,3.398058252,0,0.242718447,4.854368932,0,5.825242718,0.72815534,0.242718447,0,0,2.912621359,0.242718447,0.970873786,0,0.242718447,0,0,0.242718447,0,0,0.242718447,0,1.213592233,25.48543689,0.242718447,0.242718447,0,0,0,0,0,0.242718447,0,0.242718447,0.242718447,0,0,0,0,0,0
130,organic silt with plant fragments,13329,13869,13626,13617,0,0,0.506329114,0,1.518987342,5.316455696,0,4.303797468,0.506329114,0,0,0,0,0.253164557,0.506329114,0,0,27.59493671,0,0,3.544303797,0.759493671,5.569620253,0,0.253164557,0,0.759493671,0,0,0.253164557,3.544303797,0,0,2.025316456,0,3.797468354,0,0,2.53164557,0,6.075949367,2.53164557,0.506329114,0,0,1.265822785,0,0.759493671,0,0,0,0,0,0,0,0,0,1.772151899,22.02531646,0.506329114,0.506329114,0,0.253164557,0,0,0,0,0,0,0,0.253164557,0,0,0,0,0
135,organic silt with plant fragments,13360,13896,13655,13645,0.244498778,0,0,0,1.222493888,4.400977995,0.244498778,2.689486553,0.488997555,0,0,0,0,0,0.97799511,0,0,28.11735941,0,0,1.95599022,0.733496333,5.86797066,0,0,0,0.488997555,0,0.244498778,0,2.689486553,0,0,1.222493888,0.244498778,3.178484108,0,0,2.93398533,0,11.73594132,0.488997555,0.244498778,0.244498778,0,1.466992665,0.97799511,0.244498778,0.244498778,0,0,0,0,0,0,0,0,1.95599022,23.47188264,0.488997555,0,0,0,0,0,0,0,0,0.244498778,0,0,0.244498778,0,0,0,0
140,organic silt with plant fragments,13390,13917,13684,13672,0,0,0.284900285,0,4.843304843,2.849002849,0,3.988603989,0,0,0,0,0,0,0.56980057,0,0,11.11111111,0,0,7.122507123,0.56980057,4.558404558,0,0,0,1.994301994,0,0,0.56980057,3.418803419,0,0,4.558404558,0.284900285,0.854700855,0,0.854700855,0.284900285,0,25.07122507,0.284900285,0.284900285,0.56980057,0,1.13960114,0.284900285,0.56980057,0,0.284900285,0,0,0,0,0,0.284900285,0,0,15.38461538,4.273504274,0.284900285,0,0,0,0,0,0.284900285,0,0,0,1.13960114,0.854700855,0.284900285,0,0,0
145,organic silt with plant fragments,13424,13939,13713,13699,0,0,0.968992248,0,3.100775194,3.488372093,0,1.162790698,0,0,0,0,0,0,1.356589147,0,0,12.20930233,0,0,4.069767442,0.581395349,5.23255814,0,0,0,0.387596899,0,0,0,1.744186047,0.19379845,0,1.356589147,0,2.519379845,0,0.19379845,0.775193798,0,15.11627907,0.581395349,0.19379845,0.19379845,0,0.775193798,0.19379845,0.19379845,0,0,0,0,0,0,0,0.19379845,0,0,40.69767442,1.744186047,0,0,0,0,0,0,0.387596899,0,0,0,0,0,0,0.19379845,0.19379845,0
150,organic silt with plant fragments,13457,13967,13741,13727,0,0,0.31152648,0,1.246105919,6.853582555,0.62305296,2.492211838,0,0,0,0,0,0,0.934579439,0,0,26.47975078,0,0,5.607476636,0.62305296,9.657320872,0,0,0.62305296,0,0,0,0,1.557632399,0.31152648,0,2.492211838,0,5.607476636,0,0,2.492211838,0,19.31464174,1.557632399,0,0.31152648,0,0.62305296,0.31152648,0.934579439,0,0,0,0,0,0,0,0.31152648,0.31152648,0.62305296,3.115264798,1.246105919,0.31152648,0,0.31152648,0,0,0,0,0,0.31152648,0,1.869158879,0.31152648,0,0,0.31152648,0
155,organic silt with plant fragments,13484,13987,13767,13752,0,0,0.325732899,0,3.25732899,5.537459283,0,2.931596091,0,0,0,0,0,0,1.628664495,0,0,17.91530945,0,0,6.840390879,0.325732899,5.211726384,0,0,0,2.280130293,0,0,0,0.977198697,0.325732899,0,3.25732899,0,3.25732899,0,0.325732899,2.280130293,0,33.8762215,1.302931596,0.651465798,0.325732899,0,1.302931596,0,0.325732899,0,0.325732899,0,0,0.325732899,0,0,0.325732899,0,0,0,3.25732899,0,0,0,0,0,0,0.977198697,0,0,0,0,0.325732899,0,0,0,0
160,organic silt with plant fragments,13512,14010,13790,13777,0,0,0,0,2.313624679,4.11311054,0,3.341902314,0,0,0,0,0,0,0.514138817,0,0,10.28277635,0,0,5.655526992,0.257069409,1.028277635,0,0,0,0.257069409,0,0.257069409,0.257069409,2.05655527,0,0,3.341902314,0,0,0,1.285347044,0,0,37.27506427,0,0,0.257069409,0,1.028277635,0.257069409,0,0,1.028277635,0,0,0.257069409,0,0,0,0,0,21.59383033,2.05655527,0.514138817,0.257069409,0.257069409,0,0,0,0,0,0,0,0.257069409,0,0,0,0,0
170,organic silt with plant fragments,13557,14059,13838,13826,0,0,0,0,6.269592476,1.880877743,0,1.880877743,0,0,0,0,0,0,0.940438871,0,0,13.47962382,0,0,6.5830721,0.626959248,1.567398119,0,0,0.313479624,0.313479624,0,0,0,1.567398119,0.313479624,0,3.448275862,0.313479624,0,0,0.313479624,0,0.313479624,47.3354232,0,0.313479624,1.253918495,0,0,0,0,0,0,0,0,0,0,0,0.313479624,0,0,2.507836991,5.956112853,0.940438871,0,0,0,0,0,0.626959248,0,0,0,0,0.313479624,0,0,0.313479624,0
180,organic silt with plant fragments,13604,14108,13886,13874,0,0,0,0,5.280528053,3.630363036,0,2.310231023,0,0,0,0,0,0,0.99009901,0,0,13.86138614,0,0,2.97029703,0.330033003,2.640264026,0,0,0.660066007,0.660066007,0,0,0.660066007,3.630363036,0,0,4.290429043,0.330033003,0.660066007,0,0,0,0,44.55445545,0.330033003,0,0,0,0.660066007,1.320132013,0,0,0,0.330033003,0,0,0,0,0,0,0,1.98019802,5.280528053,1.320132013,0,0,0,0,0,1.320132013,0,0,0,0,0,0,0,0,0
