depth,min,max,median,mean,Alnus incana-type,Alnus viridis-type,Ambrosia/Iva,Arceuthobium,Asteroideae undiff.,Betula,Carya,Castanea,Cephalanthus occidentalis,Corylus,Cyperaceae,Equisetum,Fagus grandifolia,Indeterminable,Juglans cinerea,Juglans nigra,Liquidambar styraciflua,Lycopodiaceae undiff.,Nuphar,Nyssa,Osmunda regalis/O. claytoniana,Ostrya/Carpinus,Pinus undiff.,Platanus occidentalis,Poaceae,Populus,Quercus,Salix,Tsuga,Typha angustifolia/Sparganium,Unknown,Ericaceae,Fabaceae,Fraxinus undiff.,Osmundastrum cinnamomeum,Persicaria lapathifolia-type,Pinus subg. Pinus,Pinus subg. Strobus,Pteridium,Acer rubrum,Acer saccharum,Apiaceae,Brassicaceae,Ilex,Picea undiff.,Sagittaria,Ulmus,Cornus,Lamiaceae,Thalictrum,Tilia,Unknown (trilete) undiff.,Abies,Acer negundo,Amaranthaceae,Fraxinus pennsylvanica-type,Urticaceae,Nymphaea,Polypodiaceae,Fraxinus nigra-type,Plantago,Diospyros,Artemisia,Rhamnaceae,Acer undiff.,Botrychium,Sphagnum,Cupressaceae,Diphasiastrum complanatum,Alnus undiff.,Caryophyllaceae,Epilobium,Huperzia lucidula,Isoëtes lacustris,Lycopodium annotinum,Lycopodium obscurum,Polemonium,Coniferae undiff.,Huperzia selago,Sanguisorba canadensis,Larix,Menyanthes trifoliata,Picea glauca,Picea mariana,Rosaceae undiff.,Campanula,Cichorioideae,Selaginella selaginoides,Galium,Stuckenia vaginata-type,Drosera
185,13947,15063,14592,14565,15.85365854,0.696864111,0,0.522648084,4.529616725,1.916376307,0.174216028,0,0.348432056,0.522648084,12.54355401,2.613240418,0,0.348432056,0,0,0,0,1.742160279,0,0,3.658536585,10.6271777,0,2.090592334,0.174216028,3.832752613,0.174216028,0,1.219512195,1.045296167,0,0,0,0,0,2.264808362,0.348432056,0.174216028,0.522648084,0.174216028,0,0,0,5.574912892,0,0.174216028,0,0,0.348432056,0,0.174216028,6.445993031,0.174216028,0,0,0,0,0.174216028,0,0,0,0,0,0,0,0.174216028,0,0,0.522648084,0,0.174216028,0,9.930313589,0,0,0,1.742160279,0,0.174216028,0,0,5.74912892,0.174216028,0,0.174216028,0,0,0,0,0
190,14082,15141,14706,14683,28.35595777,2.262443439,0,0,3.318250377,0.754147813,0.150829563,0,0,0.301659125,5.128205128,0.150829563,0,0,0,0,0,0,0.301659125,0,0,0.904977376,7.088989442,0,0.754147813,0,1.206636501,0.150829563,0,0.452488688,0.754147813,0,0,0,0,0,3.46907994,0.150829563,0.150829563,0.150829563,0,0,0,0,4.223227753,0,0,0,0,0.150829563,0,0,1.508295626,0,0,0,0,0,0.150829563,0,0,0,0,0,0,0,0,0,0,1.055806938,0,0.150829563,0,36.19909502,0.150829563,0,0,0,0,0.452488688,0,0,0,0,0,0,0,0,0,0,0
200,14411,15303,14937,14918,37.5,2.884615385,0,0.721153846,7.692307692,0.240384615,0,0,0,0,6.009615385,0.721153846,0,0,0,0,0,0,0.240384615,0,0,0.721153846,9.615384615,0,0.721153846,0,0.961538462,0,0,0.480769231,0.721153846,0,0,0,0,0,4.567307692,1.923076923,0,0,0,0.240384615,0,0,10.09615385,0,0,0,0,1.201923077,0,0,1.442307692,0,0,0,0,0,0.240384615,0,0,0,0,0,0,0,0,0,0,3.846153846,0,0,0,6.971153846,0,0,0,0,0,0,0,0.240384615,0,0,0,0,0,0,0,0,0
210,14764,15461,15170,15156,13.72997712,2.059496568,0.686498856,0.686498856,3.890160183,0.228832952,0,0,0,0.228832952,8.695652174,0.686498856,0.457665904,0,0,0,0,0.457665904,2.745995423,0,0.228832952,2.517162471,10.98398169,0,1.601830664,0.228832952,8.695652174,0,0,1.601830664,0.686498856,0,0,0.228832952,0,0,3.661327231,1.601830664,0,0.228832952,0.228832952,0,0.228832952,0,10.98398169,0,0,0.228832952,0,0.228832952,0,0,12.58581236,0,0,0,0,0,0,0,0,0,0,0,0,0.228832952,0,0,0,1.14416476,0.228832952,0,0,7.09382151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.1,14770,15463,15171,15158,15.34090909,0.189393939,0.189393939,0.946969697,4.166666667,1.515151515,0.378787879,0,0,0.757575758,13.06818182,0.757575758,0.189393939,2.083333333,0,0,0,0,2.083333333,0,0,3.03030303,11.74242424,0,1.325757576,0.189393939,4.734848485,0,0,0.757575758,0.568181818,0,0,0,0,0,2.462121212,0.189393939,0.189393939,0,0.189393939,0,0,0,6.818181818,0,0,0,0.189393939,0.189393939,0,0,4.734848485,0,0,0,0,0,0,0.189393939,0,0,0,0,0,0,0,0,0.189393939,0,0,0,0,13.63636364,0,0,0,3.21969697,0.189393939,0.189393939,0,0,2.840909091,0,0.568181818,0,0,0,0,0,0
220,15091,15609,15360,15359,21.79878049,1.676829268,0,0,2.743902439,0.304878049,0.152439024,0,0,0,8.993902439,0.762195122,0,0,0,0,0,0,0.152439024,0,0,0.152439024,10.36585366,0,1.067073171,0,0.914634146,0,0,0.457317073,0.457317073,0,0,0.152439024,0,0,3.048780488,0.152439024,0,0,0,0,0,0,6.402439024,0,0,0,0,0.152439024,0,0,2.591463415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304878049,0.152439024,0,0,0.152439024,0,36.58536585,0,0,0,0,0,0.152439024,0,0,0,0,0.152439024,0,0,0,0,0,0
220.1,15092,15610,15362,15361,27.39965096,0.698080279,0,0.523560209,1.919720768,0.523560209,0,0,0,0,4.537521815,0.872600349,0,0.698080279,0,0,0,0.17452007,0,0,0,0.17452007,8.551483421,0,1.221640489,0,2.094240838,0,0,0.17452007,0.523560209,0,0,0,0,0,2.268760908,0.523560209,0.34904014,0.17452007,0,0,0.17452007,0,3.839441536,0,0.17452007,0,0,0.17452007,0,0,3.315881326,0,0,0,0,0,0,0.34904014,0,0,0,0,0,0.17452007,0,0,0,0.523560209,0,0,0,34.38045375,0,0,0,1.221640489,0,0.17452007,0,0.34904014,1.745200698,0,0,0,0,0,0,0,0
230,15231,15818,15519,15520,39.84962406,2.819548872,0.187969925,0.751879699,2.631578947,0.939849624,0,0,0,0,6.954887218,0.939849624,0,0,0,0,0,0,0.187969925,0,0,0.37593985,6.578947368,0,0.751879699,0,1.315789474,0,0,1.315789474,1.315789474,0,0,0,0,0,2.255639098,0.187969925,0,0,0,0,0,0,4.323308271,0,0.187969925,0,0,0.187969925,0,0,1.315789474,0,0.187969925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.315789474,0,0,0,22.36842105,0,0,0.187969925,0,0,0,0,0.563909774,0,0,0,0,0,0,0,0,0
230.1,15232,15820,15521,15521,32.28782288,0.73800738,0,0,4.79704797,0,0,0,0,0,4.42804428,0,0.184501845,0.553505535,0,0,0,0,0,0,0,0.36900369,7.933579336,0,1.47601476,0,0.184501845,0,0,0.922509225,0,0,0,0,0,0,3.874538745,0,0,0.184501845,0,0,0,0,3.505535055,0,0,0,0,0.36900369,0,0,0.36900369,0.184501845,0,0,0,0,0,0.184501845,0,0,0,0,0,0.36900369,0,0,0,0.73800738,0,0,0,32.28782288,0,0,0.184501845,1.84501845,0,0.73800738,0,0,0.73800738,0.36900369,0,0,0.184501845,0,0,0,0
240,15355,16008,15670,15672,26.69245648,1.160541586,0,0.193423598,4.255319149,0.193423598,0,0,0.193423598,0,7.156673114,0,0,0,0,0,0,0,0.193423598,0,0,0.386847195,9.671179884,0,0.967117988,0,0.773694391,0.386847195,0,0.967117988,0.967117988,0,0,0.193423598,0,0,4.835589942,1.160541586,0,0,0,0,0.386847195,0,11.21856867,0,0,0,0,0.386847195,0,0.193423598,4.255319149,0,0,0,0,0,0.193423598,0,0,0,0,0,0,0.386847195,0,0,0,0.386847195,0,0,0,21.27659574,0,0,0,0,0,0.386847195,0,0.386847195,0,0,0,0,0,0.193423598,0,0,0
